price_band,view_users,cart_users,purchase_users,purchase_events,revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,price_band_sort
$0,33053,91,0,0,0,0.002753154,0,0,1
$0–$50,1175584,48428,24059,117067,3447265.29,0.041194844,0.496799372,0.020465573,2
$50–$100,1111320,41437,21722,92298,6725620.63,0.03728629,0.524217487,0.019546125,3
$100–$250,1694277,143893,85791,249282,41741415.95,0.084928852,0.596213853,0.050635758,4
$250–$500,1310626,88903,49747,147764,50835116.53,0.067832471,0.559564919,0.037956671,5
"$500–$1,000",904561,51500,28197,86960,62920782.03,0.056933695,0.547514563,0.031172027,6
"$1,000–$2,000",593313,28894,15581,48377,62009383.86,0.048699422,0.539246902,0.026261012,7
"$2,000+",109260,656,257,1025,2253628.34,0.006004027,0.391768293,0.002352187,8
